PROGRAMME,2015,2016,2017,2018,2019,2020,2021,2022,2023,TOTAL,PLATFORM
Western Ghats,3,4,10,12,11,13,19,19,13,104,iNat
CEROS,1,2,3,1,8,4,7,9,5,40,iNat
Eastern Himalaya,1,1,2,3,4,2,6,4,3,26,iNat
Oceans and Coasts,0,1,1,1,6,5,3,4,3,24,iNat
High Altitudes,0,1,1,3,2,0,0,3,3,13,iNat
Dibang Valley,0,0,0,0,0,0,2,1,1,4,iNat
Thanamir,0,0,0,0,0,0,0,0,0,0,iNat
Western Ghats,104,130,172,157,143,130,189,215,145,1385,eBird
CEROS,61,90,131,132,159,111,145,292,227,1348,eBird
High Altitudes,41,68,75,97,117,59,124,258,98,937,eBird
Dibang Valley,27,38,45,56,44,29,82,159,140,620,eBird
Eastern Himalaya,37,38,41,62,56,49,86,79,57,505,eBird
Oceans and Coasts,3,4,9,8,4,7,23,28,7,93,eBird
Thanamir,3,8,1,2,2,2,16,13,13,60,eBird
